id,industry,role_type,keywords,weight,created_at
,Human Resources,HR Generalist,"[""Employee Relations"",""Benefits Administration"",""Onboarding"",""HRIS"",""Workday"",""ADP"",""Payroll"",""Compliance"",""FMLA"",""ADA"",""EEO"",""Recruitment"",""Performance Management"",""Policy"",""Training""]",critical,
,Government/Federal,Budget Analyst,"[""OMB A-11"",""PPBE"",""Continuing Resolution"",""Reprogramming"",""Obligation Tracking""]",high,
,Education,Training Specialist,"[""Stakeholder Management"",""Vendor Management"",""Budget Management"",""Project Management""]",low,
,Consulting,Change Management Consultant,"[""Change Management"",""Prosci"",""ADKAR"",""Stakeholder Analysis"",""Communication Plan"",""Training"",""Resistance Management"",""Organizational Readiness"",""Impact Assessment"",""Sponsorship"",""Coaching"",""Culture"",""Adoption"",""Sustainment"",""Metrics""]",important,
,Marketing/Communications,Marketing Manager,"[""Google Analytics"",""HubSpot"",""Salesforce"",""Marketing Automation"",""CRM"",""A/B Testing""]",high,
,Defense/Aerospace,Test Engineer,"[""Failure Analysis"",""Root Cause"",""FRACAS"",""Test Reports"",""Technical Writing""]",low,
,Technology,Database Administrator,"[""SQL Server"",""Redis"",""Cassandra"",""DynamoDB"",""Elasticsearch"",""Data Modeling"",""Schema Design""]",critical,
,Finance/Banking,Accountant,"[""Audit Support"",""Internal Controls"",""Process Improvement"",""ERP Implementation""]",low,
,Technology,QA Engineer,"[""CI/CD Integration"",""Docker"",""BDD"",""TDD"",""Cucumber"",""Appium"",""Mobile Testing""]",critical,
,Retail/Hospitality,District Manager,"[""Multi-Unit Management"",""Revenue Growth"",""Operational Excellence"",""P&L"",""Strategic Planning""]",critical,
,Logistics,Cold Chain Specialist,"[""Cold Chain"",""Temperature Control"",""Refrigeration"",""Pharmaceutical"",""Food Safety"",""HACCP"",""GDP"",""Monitoring"",""Compliance"",""Packaging"",""Transportation"",""Warehouse"",""Quality"",""Documentation"",""Validation""]",important,
,Hospitality,Event Planner,"[""Event Planning"",""Venue Selection"",""Budget"",""Contract Negotiation"",""Catering"",""Logistics"",""Vendor Management"",""Registration"",""A/V"",""Decor"",""Timeline"",""BEO"",""Floor Plan"",""Marketing"",""Post-Event Analysis""]",critical,
,Defense/Aerospace,Flight Test Engineer,"[""Flight Test"",""Test Planning"",""Data Reduction"",""Telemetry"",""Flight Dynamics"",""Performance Testing""]",critical,
,logistics,supply_chain,"[""Supply Chain Management"",""Inventory Management"",""Procurement"",""SAP"",""ERP"",""Warehouse Management"",""Lean"",""Six Sigma"",""Demand Planning"",""Vendor Management"",""APICS"",""CSCP""]",critical,
,Construction,Project Manager (Construction),"[""MS Project"",""Primavera P6"",""Procore"",""Bluebeam"",""RFI"",""Submittals"",""Change Orders""]",high,
,Construction,Site Supervisor,"[""Concrete"",""Framing"",""Structural Steel"",""MEP Coordination"",""Punch List""]",medium,
,Non-Profit,Fundraiser,"[""Fundraising"",""Donor Relations"",""Major Gifts"",""Annual Fund"",""Capital Campaign"",""Planned Giving""]",critical,
,Consulting,Digital Transformation Consultant,"[""Digital Transformation"",""Cloud"",""Automation"",""AI"",""Process Optimization"",""Change Management"",""Roadmap"",""Strategy"",""Stakeholder"",""ROI"",""Agile"",""DevOps"",""Customer Experience"",""Data"",""Innovation""]",important,
,Government/Federal,Program Analyst,"[""Excel"",""Data Analysis"",""Briefings"",""Congressional Reporting"",""Strategic Planning"",""GAO Compliance""]",high,
,Healthcare,Pharmacist,"[""Formulary Management"",""Clinical Pharmacy"",""Medication Therapy Management"",""Immunizations"",""DEA Compliance""]",high,
,Retail/Hospitality,Hotel Manager,"[""Opera PMS"",""STR Reports"",""Rate Strategy"",""OTA Management"",""Staff Training""]",high,
,Construction,Plumber,"[""Plumbing"",""Piping"",""Fixture Installation"",""Drain Cleaning"",""Water Heater"",""Copper"",""PVC"",""PEX"",""Blueprint Reading"",""Code Compliance"",""Backflow"",""Gas Lines"",""Solder"",""Testing"",""Residential""]",critical,
,Defense,Systems Engineer,"[""Systems Engineering"",""Requirements Analysis"",""V&V"",""Architecture"",""Interface Control"",""Trade Studies"",""Risk Analysis"",""DoDAF"",""MBSE"",""Configuration Management"",""Test Planning"",""Integration"",""Technical Reviews"",""Modeling"",""Simulation""]",critical,
,Manufacturing,Safety Manager,"[""Culture Development"",""Behavior-Based Safety"",""Metrics Reporting"",""Contractor Safety""]",low,
,Marketing/Communications,Social Media Manager,"[""Influencer Marketing"",""Social Listening"",""Crisis Management"",""Brand Advocacy""]",medium,
,Education,Curriculum Developer,"[""Assessment Design"",""Rubrics"",""Scope and Sequence"",""Textbook Selection"",""Pilot Programs""]",high,
,Manufacturing,Quality Engineer,"[""Training"",""Documentation"",""Regulatory Compliance"",""Process Validation""]",low,
,Finance/Banking,Bank Manager,"[""Community Reinvestment Act"",""Business Development"",""Cross-Selling"",""Relationship Management""]",medium,
,Defense/Aerospace,Program Manager,"[""PMP"",""Budget Management"",""Contract Management"",""Subcontractor Oversight"",""CDRL"",""DID""]",high,
,Construction,HVAC Technician,"[""Preventive Maintenance"",""Energy Efficiency"",""Indoor Air Quality"",""Code Compliance""]",medium,
,Telecommunications,Telecom Project Manager,"[""Stakeholder Management"",""Risk Management"",""Quality Assurance"",""Closeout""]",low,
,management,operations,"[""Operations Management"",""Process Improvement"",""Lean"",""Six Sigma"",""KPI"",""Strategic Planning"",""Change Management"",""Cross-Functional"",""P&L"",""SLA"",""Budget Management"",""Vendor Management""]",critical,
,Technology,Data Scientist,"[""Research Publication"",""Presentation Skills"",""Business Acumen"",""Domain Expertise""]",low,
,Manufacturing,Supply Chain Analyst,"[""Supply Chain Analytics"",""Demand Forecasting"",""Inventory Optimization"",""SAP"",""Power BI"",""Tableau"",""Excel"",""Statistical Analysis"",""Cost Analysis"",""Vendor Scorecard"",""Lead Time"",""Fill Rate"",""OTIF"",""Root Cause"",""Dashboard""]",important,
,Education,Training Specialist,"[""Evaluation"",""ROI Analysis"",""Competency Models"",""Performance Improvement""]",medium,
,Technology,Data Engineer,"[""Snowflake"",""BigQuery"",""Redshift"",""dbt"",""Data Modeling"",""Schema Design""]",high,
,Finance/Banking,Auditor,"[""ACL"",""IDEA"",""TeamMate"",""Audit Management Software"",""Continuous Auditing""]",medium,
,Healthcare,Medical Technician,"[""LIS"",""Calibration"",""Maintenance"",""Troubleshooting"",""Proficiency Testing""]",medium,
,Aviation,Aircraft Mechanic,"[""A&P"",""FAA"",""Airframe"",""Powerplant"",""Inspection"",""Troubleshooting"",""Sheet Metal"",""Avionics"",""NDT"",""Hydraulics"",""Pneumatics"",""Composite Repair"",""Technical Manuals"",""Safety"",""Tool Control""]",critical,
,Logistics,Procurement Specialist,"[""Procurement"",""Vendor Management"",""Contract Negotiation"",""RFP"",""RFQ"",""Purchase Orders"",""Cost Analysis"",""Supplier Evaluation"",""ERP"",""SAP"",""Ariba"",""Sourcing"",""Spend Analysis"",""Category Management"",""Compliance""]",critical,
